1846,Chessel,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1847,Rennaz,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1852,Roche,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1853,Yvorne,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1854,Leysin,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1856,Corbeyrier,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1860,Aigle,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1865,Ormont-Dessous,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1865,Ormont-Dessus,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1867,Ollon,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1880,Bex,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1882,Gryon,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
1892,Lavey-Morcles,Xavier GRANDJEAN,"Riviera, Chablais et Pays-d'Enhaut"
